"filename", "language", "JavaScript", "JSON", "Markdown", "Handlebars", "CSS", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/less/stacked.less", "Less", 0, 0, 0, 0, 0, 0, 17, 0, 2, 2, 21
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/less/variables.less", "Less", 0, 0, 0, 0, 0, 0, 794, 0, 3, 4, 801
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_animated.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 28, 2, 5, 35
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_bordered-pulled.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 3, 6, 26
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 2, 3, 13
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_fixed-width.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 7
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_icons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 786, 2, 2, 790
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_larger.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 9, 3, 2, 14
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 2, 2, 20
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 41, 10, 10, 61
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_path.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 3, 2, 16
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_rotated-flipped.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 4, 5, 21
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_screen-reader.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_stacked.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 2, 2, 21
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 794, 3, 4, 801
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/font-awesome/scss/font-awesome.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 4, 2, 19
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/sb-admin.css", "CSS", 0, 0, 0, 0, 297, 0, 0, 0, 5, 45, 347
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/public/css/styles.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
